No,Title,Author,Publisher,Year
181,Ocean related studies by NARA,National Aquatic Resources Agency,NARA,
182,Marine research conducted by NARA,National Aquatic Resources Agency,NARA,
183,සාගර පර්යේෂණ - සාගර විද්‍යා අංශය - දික්,National Aquatic Resources Agency,NARA,
184,NARA වල විලප්තිකා විද්‍යා අංශයේ කාර්ය මණ්ඩලය,National Aquatic Resources Agency,NARA,
185,සාගර සම්පත් පර්යේෂණ හා සංවර්ධන ආයතනයේ සාගර විද්‍යා අංශයේ කාර්ය මණ්ඩලය,National Aquatic Resources Agency,NARA,
186,සාගරයේ ආහාර ජාල 1,National Aquatic Resources Agency,NARA,
187,රන්වන් නමුත් කුඩා එක ආකාර නොවන දිවයින් (බොහෝ විට තනි සෛලික) කණ්ඩායම්,National Aquatic Resources Agency,NARA,
188,සාගර සම්පත් පර්යේෂණ හා සංවර්ධන ආයතනයේ මාඵල විද්‍යා අංශයේ කාර්ය මණ්ඩලය,National Aquatic Resources Agency,NARA,
189,Ornamental fish resources,National Aquatic Resources Agency,NARA,
190,සැරිසරන සදොස් දාම භාවිතා කරමින් මසුන් අල්ලාගැනීම,National Aquatic Resources Agency,NARA,
191,Trawling-Beach Seine fishing,National Aquatic Resources Agency,NARA,
192,Beach seine Encircling Gillnets,National Aquatic Resources Agency,NARA,
193,Long lining,National Aquatic Resources Agency,NARA,
194,Purse Seining,National Aquatic Resources Agency,NARA,
195,Pole and line fishing,National Aquatic Resources Agency,NARA,
196,Sea turtles of Sri Lanka,National Aquatic Resources Agency,NARA,
197,Special Publication No.32 Marine biodiversity assessment of the south west coast of Sri Lanka,නදීකා ජයසිංහ,NARA,2022
198,මිටිය කරන්ට් සහ සුනාමි,National Aquatic Resources Agency,NARA,
199,මුහුදු දිය අධ්‍යයන,National Aquatic Resources Agency,NARA,
200,Fisheries livelihoods,National Aquatic Resources Agency,NARA,
201,Impact Assessment of Marine Sand Mining,National Aquatic Resources Agency,NARA,2001
202,සාගර සම්පත් හා වෙරළ කලාප සම්බන්ධ දත්ත සැක් අනන්ත මානකර්තිල සහ සම්පත් තර්ථ,National Aquatic Resources Agency,NARA,
203,Introduction to Remote Sensing,National Aquatic Resources Agency,NARA,
204,NARA - Our Heritage,National Aquatic Resources Agency,NARA,
205,මසුන් බලා උපකාර කිරීම,National Aquatic Resources Agency,NARA,
206,Impacts of exploitation of marine organisms Sri Lanka context,සිරිලාල් මෙන්ඩිස්,NARA,
207,NARA The guardian of Aquatic Resource Management,National Aquatic Resources Agency,NARA,
208,ශ්‍රී ලංකාව සාගරයක ආරක්ෂාව,National Aquatic Resources Agency,NARA,
209,ජාතික සාගර සම්පත් පර්යේෂණ හා සංවර්ධන ආයතනය පිළිබඳව සංක්ෂිප්ත මෙහෙවර,National Aquatic Resources Agency,NARA,
210,අනාගෘහීත මාක්ස්‍යොගම රැඳවිලි,National Aquatic Resources Agency,NARA,
211,Marine pollution status and activities carried out in the NARA,නිරංජලා පෙරේරා,NARA,
212,NARA - ඔබේ සාගර සම්පතට රැකවරණය,National Aquatic Resources Agency,NARA,
213,පළමුවැන්න විශේෂ ප්‍රකාශන අංකය 25 ශ්‍රී ලංකාව තුළ මාඵල් ජීවනෝපාය පිළිබඳ පර්යේෂණ,National Aquatic Resources Agency,NARA,
214,ජල ජීවී කෘෂිකර්මාන්තය,National Aquatic Resources Agency,NARA,
215,ජල කෘෂිකර්මාන්තයේ වල් සාරය මාක්ස්‍යොගම පර්යේෂණ සහ සංවර්ධන ආයතනයට ගැලපෙන රුසියානු උපකාරය,National Aquatic Resources Agency,NARA,
216,Cownose rays in Sri Lanka,නිශාන්තා මහින්දපාල,NARA,
217,Information on butterflyfishes of Sri Lanka,එන්. ඩේවිඩ් සුබසිංහ,NARA,
218,Cardinalfishes (Apogonidae),එන්. ඩේවිඩ් සුබසිංහ,NARA,
219,Environmental studies of Jaffna Lagoon Sri Lanka,එන්. ඩේවිඩ් සුබසිංහ,NARA,
220,සත්ව හා ශාක කුඩා ජීවීන් සුනාමි පසුවර්තී අධ්‍යනයන්,එන්. ඩේවිඩ් සුබසිංහ,NARA,
221,Survey and Monitoring of Seagrasses and associated Fisheries around Vankalai Sanctuary - Palk Bay,එන්. ඩේවිඩ් සුබසිංහ,NARA,
222,Coral reef biodiversity of Hikkaduwa,එන්. ඩේවිඩ් සුබසිංහ,NARA,
223,Monitoring of environmental parameters in and around Chilaw lagoon,නිරංජලා පෙරේරා,NARA,
224,මීගමු කලපුව මාක්ස්‍යොගම පර්යේෂණ,National Aquatic Resources Agency,NARA,
225,Marine Science Education Programme (MSEP) සමුද්‍ර විද්‍යා අධ්‍යාපන වැඩසටහන,National Aquatic Resources Agency,NARA,
226,කොල්ලා තෙල් ඉහළ,National Aquatic Resources Agency,NARA,
227,Current status of the pelagic fishery in Sri Lankan waters,අනුජ සුරන්ජන,NARA,
228,සාගර විද්‍යා විෂය නිර්දේශය මහජන පාසල් සඳහා,National Aquatic Resources Agency,NARA,
229,ගිල්දැල් ධීවර තන්ත්‍රයක්,සහ ජුලිවර්ධන,NARA,
